"county","tract","zcta","CountyName","ZIPName","hus20","afact"
"County code","Tract","ZIP census tabulation area","County name","ZIP Code name","Total housing units (2020 Census)","tract-to-zcta allocation factor"
"09001","0731.00","06610","Fairfield CT","Bridgeport, CT",1856,1 
"09001","0732.00","06610","Fairfield CT","Bridgeport, CT",1974,1 
"09001","0733.00","06610","Fairfield CT","Bridgeport, CT",1484,1 
"09001","0734.00","06608","Fairfield CT","Bridgeport, CT",144,0.0972 
"09001","0734.00","06610","Fairfield CT","Bridgeport, CT",1338,0.9028 
"09001","0735.00","06608","Fairfield CT","Bridgeport, CT",1322,0.9844 
"09001","0735.00","06610","Fairfield CT","Bridgeport, CT",21,0.0156 
"09001","0736.00","06608","Fairfield CT","Bridgeport, CT",879,0.9899 
"09001","0736.00","06610","Fairfield CT","Bridgeport, CT",9,0.0101 
"09001","0737.00","06610","Fairfield CT","Bridgeport, CT",2051,1 
"09001","0738.00","06608","Fairfield CT","Bridgeport, CT",869,1 
"09001","0739.00","06608","Fairfield CT","Bridgeport, CT",1413,1 
"09001","0740.00","06608","Fairfield CT","Bridgeport, CT",883,1 
"09001","0743.00","06607","Fairfield CT","Bridgeport, CT",1634,0.8705 
"09001","0743.00","06610","Fairfield CT","Bridgeport, CT",243,0.1295 
"09001","0744.00","06607","Fairfield CT","Bridgeport, CT",1801,1 
"09001","0801.00","06614","Fairfield CT","Stratford, CT",1762,0.9097 
"09001","0801.00","06615","Fairfield CT","Stratford, CT",175,0.0903 
"09001","0802.00","06614","Fairfield CT","Stratford, CT",16,0.0097 
"09001","0802.00","06615","Fairfield CT","Stratford, CT",1641,0.9903 
"09001","0804.00","06615","Fairfield CT","Stratford, CT",2309,1 
"09001","0805.00","06615","Fairfield CT","Stratford, CT",1564,1 
"09001","0806.00","06615","Fairfield CT","Stratford, CT",1239,1 
"09001","0807.00","06614","Fairfield CT","Stratford, CT",1,0.001 
"09001","0807.00","06615","Fairfield CT","Stratford, CT",995,0.999 
"09001","0808.00","06614","Fairfield CT","Stratford, CT",1894,1 
"09001","0809.00","06614","Fairfield CT","Stratford, CT",1930,1 
"09001","0810.00","06614","Fairfield CT","Stratford, CT",1788,1 
"09001","0811.00","06614","Fairfield CT","Stratford, CT",1813,1 
"09001","0812.00","06614","Fairfield CT","Stratford, CT",1989,1 
"09001","0813.00","06614","Fairfield CT","Stratford, CT",2527,1 
"09001","0901.00","06611","Fairfield CT","Trumbull, CT",1243,1 
"09001","0902.00","06611","Fairfield CT","Trumbull, CT",2951,1 
"09001","0903.00","06611","Fairfield CT","Trumbull, CT",1677,1 
"09001","0904.00","06611","Fairfield CT","Trumbull, CT",2457,1 
"09001","0905.00","06611","Fairfield CT","Trumbull, CT",1710,1 
"09001","0906.00","06611","Fairfield CT","Trumbull, CT",1343,1 
"09001","0907.00","06611","Fairfield CT","Trumbull, CT",1778,1 
"09001","1001.00","06468","Fairfield CT","Monroe, CT",2179,1 
"09001","1002.00","06468","Fairfield CT","Monroe, CT",2455,1 
"09001","1003.00","06468","Fairfield CT","Monroe, CT",2284,1 
"09001","1051.00","06612","Fairfield CT","Easton, CT",1532,1 
"09001","1052.00","06612","Fairfield CT","Easton, CT",1224,1 
"09001","1101.00","06484","Fairfield CT","Shelton, CT",1405,1 
"09001","1102.01","06484","Fairfield CT","Shelton, CT",1982,1 
"09001","1102.02","06484","Fairfield CT","Shelton, CT",2235,1 
"09001","1103.01","06484","Fairfield CT","Shelton, CT",3024,1 
"09001","1103.02","06484","Fairfield CT","Shelton, CT",1556,1 
"09001","1104.00","06484","Fairfield CT","Shelton, CT",1821,1 
"09001","1105.00","06484","Fairfield CT","Shelton, CT",2036,1 
"09001","1106.01","06484","Fairfield CT","Shelton, CT",1083,1 
"09001","1106.02","06484","Fairfield CT","Shelton, CT",2032,1 
"09001","2001.00","06801","Fairfield CT","Bethel, CT",1627,0.9897 
"09001","2001.00","06810","Fairfield CT","Danbury, CT",17,0.0103 
"09001","2002.00","06801","Fairfield CT","Bethel, CT",2586,0.9859 
"09001","2002.00","06810","Fairfield CT","Danbury, CT",37,0.0141 
"09001","2003.01","06801","Fairfield CT","Bethel, CT",1773,1 
"09001","2003.02","06801","Fairfield CT","Bethel, CT",1940,1 
"09001","2051.00","06804","Fairfield CT","Brookfield, CT",1923,1 
"09001","2052.00","06804","Fairfield CT","Brookfield, CT",2548,1 
"09001","2053.00","06804","Fairfield CT","Brookfield, CT",2645,1 
"09001","2101.01","06810","Fairfield CT","Danbury, CT",1354,1 
"09001","2101.02","06810","Fairfield CT","Danbury, CT",1448,1 
"09001","2102.01","06810","Fairfield CT","Danbury, CT",1260,1 
"09001","2102.02","06810","Fairfield CT","Danbury, CT",1027,1 
"09001","2103.00","06810","Fairfield CT","Danbury, CT",2190,1 
"09001","2104.01","06810","Fairfield CT","Danbury, CT",1801,1 
"09001","2104.02","06810","Fairfield CT","Danbury, CT",1761,1 
"09001","2105.01","06810","Fairfield CT","Danbury, CT",1383,1 
"09001","2105.02","06810","Fairfield CT","Danbury, CT",3239,1 
"09001","2106.00","06810","Fairfield CT","Danbury, CT",2460,1 
"09001","2107.01","06810","Fairfield CT","Danbury, CT",1847,1 
"09001","2107.02","06810","Fairfield CT","Danbury, CT",1350,1 
"09001","2108.00","06811","Fairfield CT","Danbury, CT",2128,1 
"09001","2109.00","06811","Fairfield CT","Danbury, CT",2209,1 
"09001","2110.00","06811","Fairfield CT","Danbury, CT",1573,1 
"09001","2111.00","06811","Fairfield CT","Danbury, CT",47,1 
"09001","2112.01","06811","Fairfield CT","Danbury, CT",1518,1 
"09001","2112.02","06811","Fairfield CT","Danbury, CT",1191,1 
"09001","2113.00","06811","Fairfield CT","Danbury, CT",1459,1 
"09001","2114.00","06804","Fairfield CT","Brookfield, CT",82,0.0354 
"09001","2114.00","06810","Fairfield CT","Danbury, CT",398,0.1718 
"09001","2114.00","06811","Fairfield CT","Danbury, CT",1837,0.7928 
"09001","2201.00","06812","Fairfield CT","New Fairfield, CT",1837,1 
"09001","2202.00","06812","Fairfield CT","New Fairfield, CT",1795,1 
"09001","2203.00","06812","Fairfield CT","New Fairfield, CT",2003,1 
"09001","2301.00","06470","Fairfield CT","Newtown, CT",1395,0.4616 
"09001","2301.00","06482","Fairfield CT","Sandy Hook, CT",1624,0.5374 
"09001","2301.00","06804","Fairfield CT","Brookfield, CT",3,0.001 
"09001","2302.00","06470","Fairfield CT","Newtown, CT",763,1 
"09001","2303.00","06470","Fairfield CT","Newtown, CT",1291,1 
"09001","2304.00","06470","Fairfield CT","Newtown, CT",2091,1 
"09001","2305.01","06482","Fairfield CT","Sandy Hook, CT",1498,1 
"09001","2305.02","06470","Fairfield CT","Newtown, CT",607,0.3663 
"09001","2305.02","06482","Fairfield CT","Sandy Hook, CT",1050,0.6337 
"09001","2401.00","06877","Fairfield CT","Ridgefield, CT",20,0.0106 
"09001","2401.00","06896","Fairfield CT","Redding, CT",1862,0.9883 
"09001","2401.00","06897","Fairfield CT","Wilton, CT",2,0.0011 
"09001","2402.00","06896","Fairfield CT","Redding, CT",1780,1 
"09001","2451.00","06877","Fairfield CT","Ridgefield, CT",1003,1 
"09001","2452.00","06877","Fairfield CT","Ridgefield, CT",1568,1 
"09001","2453.00","06877","Fairfield CT","Ridgefield, CT",2462,1 
"09001","2454.00","06877","Fairfield CT","Ridgefield, CT",1204,1 
"09001","2455.00","06877","Fairfield CT","Ridgefield, CT",1118,1 
"09001","2456.00","06877","Fairfield CT","Ridgefield, CT",2151,1 
"09001","2571.00","06784","Fairfield CT","Sherman, CT",1834,1 
"09001","2572.00","06604","Fairfield CT","Bridgeport, CT",145,0.0908 
"09001","2572.00","06606","Fairfield CT","Bridgeport, CT",1452,0.9092 
"09003","3301.00","06027","Hartford CT","East Hartland, CT",578,0.6856 
"09003","3301.00","06065","Hartford CT","Riverton, CT",152,0.1803 
"09003","3301.00","06091","Hartford CT","West Hartland, CT",113,0.134 
"09003","4001.01","06023","Hartford CT","East Berlin, CT",484,0.337 
"09003","4001.01","06037","Hartford CT","Berlin, CT",952,0.663 
"09003","4001.02","06037","Hartford CT","Berlin, CT",1848,1 
"09003","4002.00","06023","Hartford CT","East Berlin, CT",99,0.0421 
"09003","4002.00","06037","Hartford CT","Berlin, CT",2252,0.9579 
"09003","4003.00","06037","Hartford CT","Berlin, CT",2933,0.999 
"09003","4003.00","06052","Hartford CT","New Britain, CT",3,0.001 
"09003","4051.00","06010","Hartford CT","Bristol, CT",1376,1 
"09003","4052.00","06010","Hartford CT","Bristol, CT",1964,1 
"09003","4053.00","06010","Hartford CT","Bristol, CT",2800,1 
"09003","4054.01","06010","Hartford CT","Bristol, CT",1413,0.9752 
"09003","4054.01","06062","Hartford CT","Plainville, CT",36,0.0248 
"09003","4054.02","06010","Hartford CT","Bristol, CT",2231,1 
"09003","4055.00","06010","Hartford CT","Bristol, CT",2327,1 
"09003","4056.00","06010","Hartford CT","Bristol, CT",3113,1 
"09003","4057.00","06010","Hartford CT","Bristol, CT",1109,1 
"09003","4058.01","06010","Hartford CT","Bristol, CT",1466,1 
"09003","4058.02","06010","Hartford CT","Bristol, CT",1727,1 
"09003","4059.00","06010","Hartford CT","Bristol, CT",1840,1 
"09003","4060.01","06010","Hartford CT","Bristol, CT",1778,1 
"09003","4060.02","06010","Hartford CT","Bristol, CT",2163,1 
"09003","4061.00","06010","Hartford CT","Bristol, CT",1908,1 
