"county","tract","cousub20","CountyName","MCDName","hus20","afact"
"County code","Tract","County subdivision (2020)","County name","County subdivision / MCD name","Total housing units (2020 Census)","tract-to-cousub20 allocation factor"
"09001","2106.00","18500","Fairfield CT","Danbury town, Fairfield CT",2460,1 
"09001","2107.01","18500","Fairfield CT","Danbury town, Fairfield CT",1847,1 
"09001","2107.02","18500","Fairfield CT","Danbury town, Fairfield CT",1350,1 
"09001","2108.00","18500","Fairfield CT","Danbury town, Fairfield CT",2128,1 
"09001","2109.00","18500","Fairfield CT","Danbury town, Fairfield CT",2209,1 
"09001","2110.00","18500","Fairfield CT","Danbury town, Fairfield CT",1573,1 
"09001","2111.00","18500","Fairfield CT","Danbury town, Fairfield CT",47,1 
"09001","2112.01","18500","Fairfield CT","Danbury town, Fairfield CT",1518,1 
"09001","2112.02","18500","Fairfield CT","Danbury town, Fairfield CT",1191,1 
"09001","2113.00","18500","Fairfield CT","Danbury town, Fairfield CT",1459,1 
"09001","2114.00","18500","Fairfield CT","Danbury town, Fairfield CT",2317,1 
"09001","2201.00","50860","Fairfield CT","New Fairfield town, Fairfield CT",1837,1 
"09001","2202.00","50860","Fairfield CT","New Fairfield town, Fairfield CT",1795,1 
"09001","2203.00","50860","Fairfield CT","New Fairfield town, Fairfield CT",2003,1 
"09001","2301.00","52980","Fairfield CT","Newtown town, Fairfield CT",3022,1 
"09001","2302.00","52980","Fairfield CT","Newtown town, Fairfield CT",763,1 
"09001","2303.00","52980","Fairfield CT","Newtown town, Fairfield CT",1291,1 
"09001","2304.00","52980","Fairfield CT","Newtown town, Fairfield CT",2091,1 
"09001","2305.01","52980","Fairfield CT","Newtown town, Fairfield CT",1498,1 
"09001","2305.02","52980","Fairfield CT","Newtown town, Fairfield CT",1657,1 
"09001","2401.00","63480","Fairfield CT","Redding town, Fairfield CT",1884,1 
"09001","2402.00","63480","Fairfield CT","Redding town, Fairfield CT",1780,1 
"09001","2451.00","63970","Fairfield CT","Ridgefield town, Fairfield CT",1003,1 
"09001","2452.00","63970","Fairfield CT","Ridgefield town, Fairfield CT",1568,1 
"09001","2453.00","63970","Fairfield CT","Ridgefield town, Fairfield CT",2462,1 
