"state","place","county","cousub20","stab","CountyName","MCDName","PlaceName","hus20","afact"
"State code","Place code","County code","County subdivision (2020)","State abbr.","County name","County subdivision / MCD name","Place name","Total housing units (2020 Census)","place-to-cousub20 allocation factor"
"09","99999","09007","14300","CT","Middlesex CT","Chester town, Middlesex CT","[not in a place]",993,0.0017 
"09","99999","09007","15350","CT","Middlesex CT","Clinton town, Middlesex CT","[not in a place]",4525,0.008 
"09","99999","09007","18080","CT","Middlesex CT","Cromwell town, Middlesex CT","[not in a place]",6162,0.0108 
"09","99999","09007","19130","CT","Middlesex CT","Deep River town, Middlesex CT","[not in a place]",735,0.0013 
"09","99999","09007","20810","CT","Middlesex CT","Durham town, Middlesex CT","[not in a place]",1291,0.0023 
"09","99999","09007","22280","CT","Middlesex CT","East Haddam town, Middlesex CT","[not in a place]",3459,0.0061 
"09","99999","09007","22490","CT","Middlesex CT","East Hampton town, Middlesex CT","[not in a place]",1952,0.0034 
"09","99999","09007","26270","CT","Middlesex CT","Essex town, Middlesex CT","[not in a place]",1922,0.0034 
"09","99999","09007","35230","CT","Middlesex CT","Haddam town, Middlesex CT","[not in a place]",2587,0.0045 
"09","99999","09007","40710","CT","Middlesex CT","Killingworth town, Middlesex CT","[not in a place]",2601,0.0046 
"09","99999","09007","47080","CT","Middlesex CT","Middlefield town, Middlesex CT","[not in a place]",1882,0.0033 
"09","99999","09007","57320","CT","Middlesex CT","Old Saybrook town, Middlesex CT","[not in a place]",3492,0.0061 
"09","99999","09007","61800","CT","Middlesex CT","Portland town, Middlesex CT","[not in a place]",1437,0.0025 
"09","99999","09007","81680","CT","Middlesex CT","Westbrook town, Middlesex CT","[not in a place]",2110,0.0037 
"09","99999","09009","03250","CT","New Haven CT","Beacon Falls town, New Haven CT","[not in a place]",2618,0.0046 
"09","99999","09009","04580","CT","New Haven CT","Bethany town, New Haven CT","[not in a place]",2039,0.0036 
"09","99999","09009","07310","CT","New Haven CT","Branford town, New Haven CT","[not in a place]",10770,0.0189 
"09","99999","09009","14160","CT","New Haven CT","Cheshire town, New Haven CT","[not in a place]",8121,0.0143 
"09","99999","09009","34950","CT","New Haven CT","Guilford town, New Haven CT","[not in a place]",8289,0.0146 
"09","99999","09009","35650","CT","New Haven CT","Hamden town, New Haven CT","[not in a place]",25973,0.0457 
"09","99999","09009","44560","CT","New Haven CT","Madison town, New Haven CT","[not in a place]",6660,0.0117 
"09","99999","09009","46940","CT","New Haven CT","Middlebury town, New Haven CT","[not in a place]",3047,0.0054 
"09","99999","09009","49950","CT","New Haven CT","Naugatuck town, New Haven CT","[not in a place]",4,0 
"09","99999","09009","53890","CT","New Haven CT","North Branford town, New Haven CT","[not in a place]",3271,0.0058 
"09","99999","09009","58300","CT","New Haven CT","Oxford town, New Haven CT","[not in a place]",5022,0.0088 
"09","99999","09009","62290","CT","New Haven CT","Prospect town, New Haven CT","[not in a place]",3758,0.0066 
"09","99999","09009","67610","CT","New Haven CT","Seymour town, New Haven CT","[not in a place]",7112,0.0125 
"09","99999","09009","69640","CT","New Haven CT","Southbury town, New Haven CT","[not in a place]",5619,0.0099 
"09","99999","09009","78740","CT","New Haven CT","Wallingford town, New Haven CT","[not in a place]",10626,0.0187 
"09","99999","09009","87560","CT","New Haven CT","Wolcott town, New Haven CT","[not in a place]",6408,0.0113 
"09","99999","09009","87700","CT","New Haven CT","Woodbridge town, New Haven CT","[not in a place]",3476,0.0061 
"09","99999","09011","06820","CT","New London CT","Bozrah town, New London CT","[not in a place]",1131,0.002 
"09","99999","09011","15910","CT","New London CT","Colchester town, New London CT","[not in a place]",4182,0.0074 
"09","99999","09011","23400","CT","New London CT","East Lyme town, New London CT","[not in a place]",7091,0.0125 
"09","99999","09011","29910","CT","New London CT","Franklin town, New London CT","[not in a place]",790,0.0014 
"09","99999","09011","33900","CT","New London CT","Griswold town, New London CT","[not in a place]",3419,0.006 
"09","99999","09011","34250","CT","New London CT","Groton town, New London CT","[not in a place]",3715,0.0065 
"09","99999","09011","42390","CT","New London CT","Lebanon town, New London CT","[not in a place]",3147,0.0055 
"09","99999","09011","42600","CT","New London CT","Ledyard town, New London CT","[not in a place]",5512,0.0097 
